Place,From Kingston,From Scranton,From Canadensis,Map / Link,Notes,Coordinates,Address
McDade Park,29 min,17 min,53 min,Map,"by the coal mine, gorgeous place for pictures, great, open playground, small lake, sandbox and lots of fields. splashed open 11-7 daily . to find splashpad:Look for signs for the pool. It’s to the left about. 1/4 mile after the playground up a driveway on the left","41.417116, -75.711143","1 Bald Mountain Rd, Scranton, PA 18507"
South Abington Community Park,34 min,13 min,47 min,Map,"clarks summit, creek with paved path along side, playground, sandbox, splash pad","41.478495, -75.684019","642 Northern Blvd, South Abington Township, PA 18411"
Indoors Trampoline places,,,,,,,
Nova Trampoline Park,11 min,31 min,1 hr 5 min,Map,,"41.300872, -75.849079","1080 Wyoming Ave, Wyoming, PA 18644"
Sky Zone Trampoline Park,16 min,18 min,53 min,Map,,"41.309913, -75.765647","195 Enterprise Way, Pittston, PA 18640"
Defy Scranton,33 min,13 min,46 min,Map,Website,"41.468952, -75.645205","1011 Scranton Carbondale Hwy Ste #1, Scranton, PA 18508"
Feeding animals / farms / zoos,,,,,,,
The Lands at Hillside Farms,10 min,29 min,1 hr 3 min,Map,animals and a creek,"41.298439, -75.934531","65 Hillside Rd, Shavertown, PA 18708"
Safari Farm Petting Zoo,38 min,21 min,34 min,Map,"Great for getting kids used to animals, they let you touch them and you can feed them. It's not very large","41.409996, -75.449202","1675 Mt Cobb Rd, Lake Ariel, PA 18436"
Quiet Valley Living Historical Farm,58 min,50 min,34 min,Map,Website,"40.957931, -75.252682","347 Quiet Valley Rd, Stroudsburg, PA 18360"
Alpacas of Sunshine Farm,1 hr 3 min,43 min,1 hr 16 min,Map,"You get to go in right with the alpacas. It's free. there's no hours, you have to call to see if they'll be around when you want to come it's the owner's hobby CALL BEFORE","41.884427, -75.672219","2312 E Lake Rd, New Milford, PA 18834"
Lehigh Valley Zoo,1 hr 15 min,1 hr 26 min,1 hr 21 min,Map,zoo,"40.658722, -75.627304","5150 Game Preserve Rd, Schnecksville, PA 18078"
The Preserve,1 hr 29 min,1 hr 9 min,1 hr 42 min,Map,drive through zoo near Binghamton,"42.158228, -75.661682","42 Pease Rd, Harpursville, NY 13787"
Goldschein's Homestead,1 hr 57 min,1 hr 40 min,1 hr 31 min,Map,upstate NY,"41.813577, -74.755887","196 Revonah Hill Rd, Liberty, NY 12754"
Puppies & More,6 min,32 min,1 hr 6 min,Map,"75 S Wyoming Ave, Kingston, PA 18704  •  (570) 714-3101 | Site: https://maps.google.com/?cid=7535749191563745533","41.257459, -75.901237","75 S Wyoming Ave, Kingston, PA 18704"
Bear Mountain Butterfly Sanctuary,36 min,47 min,49 min,Map,"18 Church Rd, Jim Thorpe, PA 18229  •  Indoor; insects, crafts, films | Site: https://bearmountainbutterflies.com","40.940108, -75.656024","18 Church Rd, Jim Thorpe, PA 18229"
Safari Farm Petting Zoo & Sanctuary,38 min,21 min,34 min,Map,"1675 Mt Cobb Rd, Lake Ariel, PA 18436 | Site: https://www.google.com/maps/search/?api=1&query=Safari%20Farm%20Petting%20Zoo%20%26%20Sanctuary","41.409996, -75.449202","1675 Mt Cobb Rd, Lake Ariel, PA 18436"
Alpacas of Windy Haven Farm,41 min,24 min,37 min,Map,"153 Center St, Covington Township, PA 18424 • (570) 955-8228; call ahead","41.309494, -75.503684","153 Center St, Covington Township, PA 18424"
Pocono Snake & Animal Farm,1 hr 1 min,53 min,29 min,Map,"424 Seven Bridge Rd, East Stroudsburg, PA 18301 • (570) 223-8653","41.021527, -75.129267","424 Seven Bridge Rd, East Stroudsburg, PA 18301"
Animal Adventure Park,1 hr 29 min,1 hr 10 min,1 hr 42 min,Map,"85 Martin Hill Rd, Harpursville, NY 13787 | Site: https://theanimaladventurepreserve.com/","42.153897, -75.668072","85 Martin Hill Rd, Harpursville, NY 13787"
Philadelphia Zoo,1 hr 50 min,2 hr 1 min,1 hr 58 min,Map,"3400 W Girard Ave, Philadelphia, PA 19104","39.971496, -75.195538","3400 W Girard Ave, Philadelphia, PA 19104"
Essex County Turtle Back Zoo,1 hr 55 min,1 hr 46 min,1 hr 26 min,Map,"560 Northfield Ave, West Orange, NJ 07052 | Site: http://turtlebackzoo.com/","40.767685, -74.279911","560 Northfield Ave, West Orange, NJ 07052"
Garden,,,,,,,
Edward's Garden Center,6 min,26 min,1 hr,Map,,"41.270979, -75.872099","525 River St, Forty Fort, PA 18704"
Fishing,,,,,,,
Big Brown Fish & Pay Lakes,50 min,55 min,40 min,Map,Big brown is a fishing lake with 3 different skill levels . You can rent equipment and they'll even gut the fish for you,"40.942804, -75.439153","2668 PA-115, Effort, PA 18330"
Museums,,,,,,,
Bloomsburg Children's Museum,56 min,1 hr 8 min,1 hr 23 min,Map,children's museum,"40.997792, -76.452386","2 W 7th St, Bloomsburg, PA 17815"
Da Vinci Science Center,1 hr 12 min,1 hr 22 min,1 hr 9 min,Map,science museum,"40.601887, -75.474579","815 Hamilton St, Allentown, PA 18101"
America on Wheels,1 hr 10 min,1 hr 20 min,1 hr 4 min,Map,For those with EBT $3 Adult. Kids under 12 free on weekends. Perfect for all males (kids and adults) and some females 😉,"40.606715, -75.456499","5 N Front St, Allentown, PA 18102"
Dorflinger Glass Museum,1 hr 3 min,46 min,46 min,Map,"call ahead, not open daily Website","41.526602, -75.203196","670 Texas Palmyra Hwy, Hawley, PA 18428"
general museum location finder,,,,Map,"For those on food stamps, you can get into some museums at a very big discount or free",,
Everhart Museum,27 min,6 min,45 min,Map,"1901 Mulberry St, Scranton, PA 18510 | Site: https://everhart-museum.org/","41.400696, -75.644211","1901 Mulberry St, Scranton, PA 18510"
Steamtown National Historic Site,29 min,8 min,47 min,Map,"350 Cliff St, Scranton, PA 18503 | Site: https://www.nps.gov/stea/planyourvisit/railfest-at-steamtown-national-historic-site.htm","41.407906, -75.672011","350 Cliff St, Scranton, PA 18503"
The Electric City Trolley Museum,30 min,9 min,48 min,Map,"300 Cliff St, Scranton, PA 18503","41.409508, -75.673420","300 Cliff St, Scranton, PA 18503"
Asa Packer Mansion Museum,46 min,57 min,1 hr,Map,"Packer Hill Ave, Jim Thorpe, PA 18229 | Site: https://www.asapackermansion.com/","40.864498, -75.738194","Packer Hill Ave, Jim Thorpe, PA 18229"
Old Jail Museum,48 min,59 min,1 hr 1 min,Map,"128 W Broadway, Jim Thorpe, PA 18229 • (570) 325-5259","40.863719, -75.746456","128 W Broadway, Jim Thorpe, PA 18229"
Delaware & Hudson Canal Park at Lock 31,1 hr 7 min,50 min,42 min,Map,"179 Texas Palmyra Hwy, Hawley, PA 18428 | Site: https://www.waynehistorypa.com/museums/canalparklock31","41.493942, -75.194869","179 Texas Palmyra Hwy, Hawley, PA 18428"
Grey Towers National Historic Site,1 hr 11 min,54 min,46 min,Map,"151 Grey Towers Dr Drive, Milford, PA 18337  •  (570) 296-9630 | Site: https://www.google.com/maps/search/?api=1&query=Grey%20Towers%20National%20Historic%20Site","41.328158, -74.818904","151 Grey Towers Dr Drive, Milford, PA 18337"
Lewisburg Children's Museum,1 hr 22 min,1 hr 34 min,1 hr 48 min,Map,"815 Market St #14, Lewisburg, PA 17837  •  Better than Bloomsburg; kids spend 3+ hrs | Site: https://www.google.com/maps/search/?api=1&query=Lewisburg%20Children%27s%20Museum","40.960136, -76.891763","815 Market St #14, Lewisburg, PA 17837"
National Canal Museum,1 hr 25 min,1 hr 16 min,1 hr,Map,"2750 Hugh Moore Park Rd, Easton, PA 18042","40.662085, -75.239176","2750 Hugh Moore Park Rd, Easton, PA 18042"
The Discovery Center of the Southern Tier,1 hr 28 min,1 hr 8 min,1 hr 41 min,Map,"60 Morgan Rd, Binghamton, NY 13903 | Site: https://www.google.com/maps/search/?api=1&query=The%20Discovery%20Center%20of%20the%20Southern%20Tier","42.073813, -75.903749","60 Morgan Rd, Binghamton, NY 13903"
Hikes,,,,,,,
Seven Tubs Recreation Area,12 min,24 min,57 min,Map,,"41.235463, -75.810687","900 Bear Creek Blvd, Wilkes-Barre, PA 18702"
Natural Lands' Bear Creek Preserve,22 min,34 min,45 min,Map,,"41.179753, -75.705164","47 Rabbit Run Ln, Bear Creek Village, PA 18702"
Eales Preserve at Moosic Mountain,33 min,17 min,36 min,Map,Really gorgeous hike not too far from here,"41.438252, -75.541163","222 In The Deed, Jessup, PA 18434"
Ricketts Glen Falls,36 min,55 min,1 hr 30 min,Map,"the link shared may not bring you to the right spot for the hike, research the correct link. amazing waterfall hike (long about 3-4 hours) and hard but fun, beach and boating other smaller hikes also","41.312490, -76.275095","Ricketts Glen Falls Trail, Fairmount Township, PA"
Hawk Falls Parking,39 min,50 min,50 min,Map,waterfall. near boulders field,"41.010787, -75.634039","2812 PA-534, Albrightsville, PA 18210"
Rail Gap Pocono Creek Nature Preserve,54 min,45 min,30 min,Map,"A few really nice, short kid friendly hikes","40.991300, -75.255765","3555 Shafers School House Rd, Stroudsburg, PA 18360"
Wheelchair/stroller friendly,,,,Map,,,
Susquehanna Riverlands,36 min,51 min,1 hr 22 min,Map,"634 Salem Blvd, Berwick, PA 18603","41.096191, -76.134761","634 Salem Blvd, Berwick, PA 18603"
Austin T. Blakeslee Natural Area,33 min,43 min,34 min,Map,"20 PA-115, Blakeslee, PA 18610","41.083245, -75.584556","20 PA-115, Blakeslee, PA 18610"
D&L Trail White Haven North Trailhead,32 min,42 min,45 min,Map,"201 Main St, White Haven, PA 18661 • Bike trail; rentals at entrance","41.063164, -75.772752","201 Main St, White Haven, PA 18661"
Lazybrook Park,43 min,34 min,1 hr 8 min,Map,"152 Lazy Brk Pk, Tunkhannock, PA 18657","41.553104, -75.897872","152 Lazy Brk Pk, Tunkhannock, PA 18657"
Shades Of Death Trailhead,38 min,49 min,49 min,Map,"PA-534, Jim Thorpe, PA 18229 | Site: https://www.google.com/maps/place/Shades+Of+Death+Trail,+PA-534,+Albrightsville,+PA+18229/data=!4m2!3m1!1s0x89c45555bee0f1bb:0xb28ed59263496180","41.024701, -75.709164","PA-534, Jim Thorpe, PA 18229"
Hickory Run State Park,41 min,52 min,50 min,Map,"3 Family Camp Rd, White Haven, PA 18661 • Has a beach; no boating","41.023678, -75.691605","3 Family Camp Rd, White Haven, PA 18661"
Little Rocky Glen Preserve,47 min,30 min,1 hr 3 min,Map,"Lithia Valley Rd, Factoryville, PA 18419","41.554376, -75.834053","Lithia Valley Rd, Factoryville, PA 18419"
State Parks,,,,,,,
Covington Park,37 min,19 min,36 min,Map,"nice playground, big open field for kites, and mini beach with lake, closer beach in Moscow PA, usually not a lot of people .things to consider: smaller area of beach, the walk from the parking to the lake is long and down the hill so on the way there it’s not too bad but the way up is exhausting","41.318628, -75.533110","307 Winship Rd, Moscow, PA 18444"
Gouldsboro State Park,43 min,26 min,32 min,Map,"nice beach, usually empty. things to consider: dirty bathrooms","41.242632, -75.468733","Pennsylvania 507 at, State Pk Rd, Gouldsboro, PA 18424"
Lake Jean at Ricketts Glen,46 min,1 hr 5 min,1 hr 40 min,Map,Ricketts glen has a nice beach area. It’s called lake Jean. My GPS didn’t take me all the way there so you have to follow signs once you pass ricketts glen,"41.338678, -76.284484","Unnamed Road, Sweet Valley, PA 18656"
Beltzville State Park,47 min,58 min,58 min,Map,"small beach, playground, picnic tables","40.865099, -75.627268","2950 Pohopoco Dr, Lehighton, PA 18235"
Tobyhanna State Park,48 min,31 min,22 min,Map,"Tobyhanna is nice for sitting near the water, there are snails to collect instead of shells","41.207434, -75.396176","PA-423, Tobyhanna, PA 18466"
Promised Land State Park Kids Playground,56 min,39 min,21 min,Map,playground area at promised land state park,"41.318145, -75.207361","Greentown, PA 18426"
Promised Land Main Beach,57 min,40 min,21 min,Map,"beach area at promised land state park. things to consider: rocks in the lake (bring water shoes) , very busy and some walk from the car to the beach","41.317187, -75.207394","Greentown, PA 18426"
Lake Wallenpaupack,1 hr 2 min,45 min,37 min,Map,"Lake Wallenpaupack is big, do research first to know which beach area is good","41.449192, -75.179767","Palmyra Township Public Beach, 2512 Lake Wallenpaupack Rd, Hawley, PA 18428"
Moon Lake State Forest Recreation Area,24 min,43 min,1 hr 18 min,Map,"Deerwood Dr, Hunlock Creek, PA 18621","41.252042, -76.055975","Deerwood Dr, Hunlock Creek, PA 18621"
Francis E. Walter Dam,26 min,39 min,46 min,Map,"St Fish and Game Commission Rd, White Haven, PA 18661 • (215) 377-0438","41.112282, -75.721806","St Fish and Game Commission Rd, White Haven, PA 18661"
Nescopeck State Park,32 min,43 min,55 min,Map,"1137 Honey Hole Rd, Drums, PA 18222 • 1137 Honey Hole Rd, Drums PA","41.091042, -75.879559","1137 Honey Hole Rd, Drums, PA 18222"
Mauch Chunk Lake Park,53 min,1 hr 4 min,1 hr 6 min,Map,"625 Lentz Trail, Jim Thorpe, PA 18229 • (570) 325-3669","40.843669, -75.805535","625 Lentz Trail, Jim Thorpe, PA 18229"
Palmyra Township Public Beach,1 hr 2 min,45 min,37 min,Map,"Palmyra Township Public Beach, 2512 Lake Wallenpaupack Rd, Hawley, PA 18428 | Site: https://www.google.com/maps/place/Palmyra+Township+Public+Beach,+2512+Lake+Wallenpaupack+Rd,+Hawley,+PA+18428/data=!4m2!3m1!1s0x89c4b06a90b97669:0x91125517079df15c","41.449192, -75.179767","Palmyra Township Public Beach, 2512 Lake Wallenpaupack Rd, Hawley, PA 18428"
Family outings,,,,,,,
Nesbitt Park Disc Golf Course,5 min,30 min,1 hr 5 min,Map,frisbee golf,"41.251541, -75.885385","Wilkes-Barre, PA 18704"
Electric City Aquarium & Reptile Den,27 min,7 min,45 min,Map,small aquarium,"41.407988, -75.668267","300 Lackawanna Ave, Scranton, PA 18503"
Lakeland Orchard & Cidery,44 min,25 min,52 min,Map,"There’s rides, corn pool, axe throwing for kids as well, strawberry and apple picking and a food court to chill at its very very nice also has some goats. not open daily","41.576440, -75.594419","1649 Lakeland Dr, Scott, PA 18433"
Jim Thorpe scenic train ride,48 min,58 min,1 hr 1 min,Map,Scenic 70 minute round trip train rides. near a pretty neighborhood with old beautiful homes Schedule,"40.863141, -75.737447","1 Susquehanna St, Jim Thorpe, PA 18229"
Country Junction - World's Largest General Store,49 min,1 hr,55 min,Map,big general store with little rides and petting zoo,"40.862508, -75.590247","6565 Interchange Rd, Lehighton, PA 18235"
general search,,,,Map,"Go into the menu to search for specific things you're interested in (hikes, museum's etc)",,
general search,,,,Map,,,
Amusement park,,,,,,,
Knoebels Amusement Resort,1 hr 7 min,1 hr 19 min,1 hr 34 min,Map,,"40.879960, -76.502076","391 Knoebels Blvd, Elysburg, PA 17824"
Indoor play space,,,,,,,
Long Live Playtime,6 min,31 min,1 hr 6 min,Map,,"41.256150, -75.901687","75 S Wyoming Ave Ste 5, Edwardsville, PA 18704"
Chuck E Cheese,13 min,24 min,59 min,Map,chuck e cheese,"41.239063, -75.856611","Market Place, 2120 Wilkes Barre Township Blvd, Wilkes-Barre Township, PA 18702"
Dave & Buster's Scranton,22 min,13 min,48 min,Map,,"41.361037, -75.676089","6000 Shoppes Blvd, Moosic, PA 18507"
Bee's Backyard,27 min,7 min,45 min,Map,call in advance to make sure they are open they sometimes have private events and aren't open daily,"41.408139, -75.668527","The Marketplace at Steamtown, 300 Lackawanna Ave, Scranton, PA 18503"
Bloom Waldessori Play Space,56 min,47 min,32 min,Map,Website,"40.977612, -75.236562","106 Renastar Rd, Stroudsburg, PA 18360"
Breakout Escape Room,14 min,26 min,1 hr,Map,"618 Blackman St, Wilkes-Barre Township, PA 18702  •  Cheaper if you pay cash | Site: http://breakoutescapepa.com","41.223045, -75.885142","618 Blackman St, Wilkes-Barre Township, PA 18702"
Wilkes-Barre Climbing Gym Indoor Rock Climbing,7 min,29 min,1 hr 4 min,Map,"102 S Main St, Wilkes-Barre, PA 18701 | Site: https://wilkesbarreclimbinggym.com","41.243598, -75.885439","102 S Main St, Wilkes-Barre, PA 18701"
Yum Yum Fun,11 min,36 min,1 hr 10 min,Map,"125 E Main St, Plymouth, PA 18651 | Site: https://yumyumfunfec.com/","41.241803, -75.942733","125 E Main St, Plymouth, PA 18651"
Purrfect Mugs Cat Cafe,10 min,26 min,1 hr 1 min,Map,"1325 N River St Ste 102A, Hilldale, PA 18702 | Site: https://www.purrfectmugscatcafe.com/","41.289834, -75.845880","1325 N River St Ste 102A, Hilldale, PA 18702"
Buff City Soap,35 min,14 min,48 min,Map,"397 Arena Hub Plaza, Wilkes-Barre Township, PA 18702  •  Make-your-own soap; (570) 477-7200 | Site: https://www.google.com/maps/search/?api=1&query=Buff%20City%20Soap","41.465784, -75.637038","1249 Commerce Blvd Ste A, Dickson City, PA 18519"
Clubhouse315,14 min,22 min,57 min,Map,"1492 PA-315, Wilkes-Barre, PA 18702  •  (570) 304-6405 | Site: https://www.google.com/maps/search/?api=1&query=Clubhouse315","41.274760, -75.803054","1492 PA-315, Wilkes-Barre, PA 18702"
Zensory Zone,20 min,11 min,45 min,Map,"73 Montage Mountain Rd, Moosic, PA 18507 | Site: https://www.zensoryzone.com/","41.369219, -75.686579","73 Montage Mountain Rd, Moosic, PA 18507"
Noteology,28 min,3 min,46 min,Map,"537 Wyoming Ave, Scranton, PA 18509 | Site: https://www.noteology.com/","41.413288, -75.660290","537 Wyoming Ave, Scranton, PA 18509"
Idle Hours North,35 min,15 min,48 min,Map,"2008 Scranton Carbondale Hwy, Scranton, PA 18508  •  Has a south location too | Site: https://www.idlehoursentertainment.com/","41.475191, -75.625558","2008 Scranton Carbondale Hwy, Scranton, PA 18508"
United Sports Academy Ninja Nook - Mayfield,40 min,23 min,48 min,Map,"603 Scranton Carbondale Hwy, Mayfield, PA 18433  •  Open gym | Site: https://unitedsportsacademygym.com/","41.541813, -75.543577","603 Scranton Carbondale Hwy, Mayfield, PA 18433"
Wonderland Madhouse,50 min,42 min,23 min,Map,"Located behind the Food Trucks by Carters, 1000 Premium Outlets Dr Ste i01, Tannersville, PA 18372 | Site: https://www.google.com/maps/search/?api=1&query=Mirror%20Maze","41.049449, -75.313294","Located behind the Food Trucks by Carters, 1000 Premium Outlets Dr Ste i01, Tannersville, PA 18372"
